month,production
1980-01-01,7366
1980-02-01,7414
1980-03-01,7824
1980-04-01,7524
1980-05-01,8279
1980-06-01,8707
1980-07-01,9486
1980-08-01,8973
1980-09-01,8231
1980-10-01,8206
1980-11-01,7927
1980-12-01,7999
1981-01-01,7834
1981-02-01,7521
1981-03-01,8284
1981-04-01,7999
1981-05-01,8940
1981-06-01,9381
1981-07-01,10078
1981-08-01,9796
1981-09-01,8471
1981-10-01,8572
1981-11-01,8150
1981-12-01,8168
1982-01-01,8166
1982-02-01,7903
1982-03-01,8606
1982-04-01,8071
1982-05-01,9178
1982-06-01,9873
1982-07-01,10476
1982-08-01,9296
1982-09-01,8818
1982-10-01,8697
1982-11-01,8381
1982-12-01,8293
1983-01-01,7942
1983-02-01,8001
1983-03-01,8744
1983-04-01,8397
1983-05-01,9115
1983-06-01,9773
1983-07-01,10358
1983-08-01,9849
1983-09-01,9083
1983-10-01,9143
1983-11-01,8800
1983-12-01,8741
1984-01-01,8492
1984-02-01,8795
1984-03-01,9354
1984-04-01,8796
1984-05-01,10072
1984-06-01,10174
1984-07-01,11326
1984-08-01,10744
1984-09-01,9806
1984-10-01,9740
1984-11-01,9373
1984-12-01,9244
1985-01-01,9407
1985-02-01,8827
1985-03-01,9880
1985-04-01,9364
1985-05-01,10580
1985-06-01,10899
1985-07-01,11687
1985-08-01,11280
1985-09-01,10208
1985-10-01,10212
1985-11-01,9725
1985-12-01,9721
1986-01-01,9846
1986-02-01,9407
1986-03-01,10265
1986-04-01,9970
1986-05-01,10801
1986-06-01,11246
1986-07-01,12167
1986-08-01,11578
1986-09-01,10645
1986-10-01,10613
1986-11-01,10104
1986-12-01,10348
1987-01-01,10263
1987-02-01,9973
1987-03-01,10803
1987-04-01,10409
1987-05-01,11458
1987-06-01,11845
1987-07-01,12559
1987-08-01,12070
1987-09-01,11221
1987-10-01,11338
1987-11-01,10761
1987-12-01,11012
1988-01-01,10923
1988-02-01,10790
1988-03-01,11427
1988-04-01,10788
1988-05-01,11772
1988-06-01,12104
1988-07-01,12634
1988-08-01,12772
1988-09-01,11764
1988-10-01,11956
1988-11-01,11646
1988-12-01,11750
1989-01-01,11485
1989-02-01,11198
1989-03-01,12265
1989-04-01,11704
1989-05-01,12419
1989-06-01,13259
1989-07-01,13945
1989-08-01,13839
1989-09-01,12387
1989-10-01,12546
1989-11-01,12038
1989-12-01,11977
1990-01-01,12336
1990-02-01,11793
1990-03-01,12877
1990-04-01,11923
1990-05-01,13306
1990-06-01,13988
1990-07-01,14002
1990-08-01,14336
1990-09-01,12867
1990-10-01,12721
1990-11-01,12449
1990-12-01,12686
1991-01-01,12810
1991-02-01,12015
1991-03-01,12888
1991-04-01,12431
1991-05-01,13499
1991-06-01,13014
1991-07-01,14296
1991-08-01,14125
1991-09-01,12817
1991-10-01,12862
1991-11-01,12449
1991-12-01,12489
1992-01-01,12621
1992-02-01,12380
1992-03-01,13023
1992-04-01,12302
1992-05-01,13339
1992-06-01,13825
1992-07-01,14428
1992-08-01,14151
1992-09-01,13355
1992-10-01,13094
1992-11-01,12656
1992-12-01,12435
1993-01-01,13287
1993-02-01,12434
1993-03-01,13209
1993-04-01,12817
1993-05-01,13746
1993-06-01,14259
1993-07-01,14590
1993-08-01,14354
1993-09-01,13254
1993-10-01,13464
1993-11-01,13302
1993-12-01,13456
1994-01-01,13171
1994-02-01,12517
1994-03-01,13489
1994-04-01,12509
1994-05-01,13785
1994-06-01,13921
1994-07-01,14603
1994-08-01,14749
1994-09-01,13540
1994-10-01,13457
1994-11-01,13243
1994-12-01,13590
1995-01-01,13487
1995-02-01,12776
1995-03-01,13812
1995-04-01,13032
1995-05-01,14268
1995-06-01,14473
1995-07-01,15359
1995-08-01,14457
