year,production
1965-01-01,111.009134615
1966-01-01,130.828434066
1967-01-01,141.287087912
1968-01-01,154.227774725
1969-01-01,162.740865385
1970-01-01,192.16648351599997
1971-01-01,240.799725275
1972-01-01,304.21739011
1973-01-01,384.00456730800005
1974-01-01,429.662156593
1975-01-01,359.316929945
1976-01-01,437.251854396
1977-01-01,468.400789835
1978-01-01,424.43533653800006
1979-01-01,487.979429945
1980-01-01,509.82844780199997
1981-01-01,506.34725274699997
1982-01-01,340.184237416
1983-01-01,240.25892103900003
1984-01-01,219.032787575
1985-01-01,172.07466324
1986-01-01,252.59009216599998
1987-01-01,221.07107741
1988-01-01,276.518773485
1989-01-01,271.147951746
1990-01-01,342.618600452
1991-01-01,428.355835697
1992-01-01,442.39455335
1993-01-01,432.785148219
1994-01-01,437.24971862800004
1995-01-01,437.209159929
1996-01-01,445.36409809199995
1997-01-01,453.19501042699994
1998-01-01,454.40964101199995
1999-01-01,422.37890577900004
2000-01-01,456.03712172800005
2001-01-01,440.386604674
2002-01-01,425.194372519
2003-01-01,486.20517351
2004-01-01,500.429086073
2005-01-01,521.27590917
2006-01-01,508.947617045
2007-01-01,488.888857729
2008-01-01,509.87057497800004
2009-01-01,456.722912348
2010-01-01,473.816602915
2011-01-01,525.950870565
2012-01-01,549.8338075969999
2013-01-01,542.340469826
